"File","Line","Pattern","Text"
"D:\xampp\htdocs\cooking_website\app\controllers\admin\QuizController.php","16","\u00C3","'created' => 'Đã tạo bộ câu hỏi.',"
"D:\xampp\htdocs\cooking_website\app\controllers\admin\QuizController.php","17","\u00C3","'updated' => 'Đã cập nhật bộ câu hỏi.',"
"D:\xampp\htdocs\cooking_website\app\controllers\AuthController.php","162","\u00C4","'title' => 'Ä‚â€Ă‚ÂÄ‚â€Ă†â€™ng kĂ„â€Ă‚Â½',"
"D:\xampp\htdocs\cooking_website\app\controllers\AuthController.php","162","\u00E2\u20AC","'title' => 'Ä‚â€Ă‚ÂÄ‚â€Ă†â€™ng kĂ„â€Ă‚Â½',"
"D:\xampp\htdocs\cooking_website\app\controllers\MealPlanController.php","139","\u00C3","$this->jsonResponse(['ok' => false, 'message' => 'Ngày này đã bị khóa, không thể chỉnh sửa.'], 422);"
"D:\xampp\htdocs\cooking_website\app\controllers\MealPlanController.php","178","\u00C3","'message' => 'Đã thêm món vào kế hoạch.',"
"D:\xampp\htdocs\cooking_website\app\controllers\MealPlanController.php","219","\u00C3","$this->jsonResponse(['ok' => false, 'message' => 'Ngày này đã bị khóa, không thể chỉnh sửa.'], 422);"
"D:\xampp\htdocs\cooking_website\app\controllers\MealPlanController.php","230","\u00C3","'message' => 'Đã xóa món khỏi kế hoạch.',"
"D:\xampp\htdocs\cooking_website\app\controllers\MealPlanController.php","355","\u00C3","'message' => $isLocked ? 'Đã khóa tuần kế hoạch này.' : 'Đã mở khóa tuần kế hoạch này.',"
"D:\xampp\htdocs\cooking_website\app\controllers\MealPlanController.php","385","\u00C3","'message' => $isLocked ? 'Đã khóa ngày được chọn.' : 'Đã mở khóa ngày được chọn.',"
"D:\xampp\htdocs\cooking_website\app\controllers\QuizController.php","41","\u00C3","'passed' => 'Bạn đã trả lời đúng toàn bộ. Chứng nhận đã được cấp.',"
"D:\xampp\htdocs\cooking_website\app\controllers\QuizController.php","42","\u00C3","'failed' => 'Bạn chưa đạt điều kiện. Hãy thử lại để nhận chứng nhận.',"
"D:\xampp\htdocs\cooking_website\app\controllers\UserController.php","37","\u00C4","$message = 'ÄĂ£ cáº­p nháº­t theo dĂµi.';"
"D:\xampp\htdocs\cooking_website\app\controllers\UserController.php","49","\u00C4","$message = 'TĂ i khoáº£n Ä‘ang bá»‹ khĂ³a theo dĂµi táº¡m thá»i.';"
"D:\xampp\htdocs\cooking_website\app\controllers\UserController.php","49","\u00E1\u00BB","$message = 'TĂ i khoáº£n Ä‘ang bá»‹ khĂ³a theo dĂµi táº¡m thá»i.';"
"D:\xampp\htdocs\cooking_website\app\controllers\UserController.php","59","\u00C4","$message = $followingNow ? 'ÄĂ£ theo dĂµi.' : 'ÄĂ£ cáº­p nháº­t theo dĂµi.';"
"D:\xampp\htdocs\cooking_website\app\controllers\UserController.php","70","\u00C4","$actorName . ' Ä‘Ă£ theo dĂµi báº¡n.',"
"D:\xampp\htdocs\cooking_website\app\controllers\UserController.php","75","\u00E1\u00BB","$message = 'KhĂ´ng thá»ƒ theo dĂµi tĂ i khoáº£n nĂ y.';"
"D:\xampp\htdocs\cooking_website\app\controllers\UserController.php","78","\u00E1\u00BB","$message = 'KhĂ´ng thá»ƒ theo dĂµi tĂ i khoáº£n nĂ y.';"
"D:\xampp\htdocs\cooking_website\app\controllers\UserController.php","103","\u00C4","$message = 'ÄĂ£ cáº­p nháº­t theo dĂµi.';"
"D:\xampp\htdocs\cooking_website\app\controllers\UserController.php","110","\u00C4","$message = 'ÄĂ£ há»§y theo dĂµi.';"
"D:\xampp\htdocs\cooking_website\app\controllers\UserController.php","110","\u00E1\u00BB","$message = 'ÄĂ£ há»§y theo dĂµi.';"
"D:\xampp\htdocs\cooking_website\app\controllers\UserController.php","115","\u00E1\u00BB","$message = 'KhĂ´ng thá»ƒ há»§y theo dĂµi tĂ i khoáº£n nĂ y.';"
"D:\xampp\htdocs\cooking_website\app\controllers\UserController.php","213","\u00E1\u00BB","'CĂ³ bĂ¡o cĂ¡o tĂ i khoáº£n má»›i (user ID: ' . $targetUserId . ').'"
"D:\xampp\htdocs\cooking_website\app\controllers\UserController.php","513","\u00C6","'title' => 'Há»“ sÆ¡',"
"D:\xampp\htdocs\cooking_website\app\controllers\UserController.php","513","\u00E1\u00BB","'title' => 'Há»“ sÆ¡',"
"D:\xampp\htdocs\cooking_website\app\controllers\UserController.php","567","\u00C4","'title' => $type === 'followers' ? 'NgÆ°á»i theo dĂµi' : 'Äang theo dĂµi',"
"D:\xampp\htdocs\cooking_website\app\controllers\UserController.php","567","\u00C6","'title' => $type === 'followers' ? 'NgÆ°á»i theo dĂµi' : 'Äang theo dĂµi',"
"D:\xampp\htdocs\cooking_website\app\controllers\UserController.php","567","\u00E1\u00BB","'title' => $type === 'followers' ? 'NgÆ°á»i theo dĂµi' : 'Äang theo dĂµi',"
"D:\xampp\htdocs\cooking_website\app\dictionaries\profanity_vi.json","21","\u00C3","""vãi"","
"D:\xampp\htdocs\cooking_website\app\dictionaries\profanity_vi.json","23","\u00C3","""vãi l"","
"D:\xampp\htdocs\cooking_website\app\dictionaries\profanity_vi.json","24","\u00C3","""vãi cả"","
"D:\xampp\htdocs\cooking_website\app\helpers\mail_helper.php","26","\u00C3",". '<p>Nếu không phải bạn thực hiện, hãy bỏ qua email này.</p>'"
"D:\xampp\htdocs\cooking_website\app\helpers\mail_helper.php","33","\u00C3",". ""Nếu không phải bạn thực hiện, hãy bỏ qua email này.\n"";"
